startup_name,description,funding_amount,industry,location,employees,website,founders,founder_emails,founder_linkedin,source,batch
Ramp,"Corporate card and spend management platform for businesses


FinTech Enterprise Software

**Quick facts:**

📍HQ: New York, New York, USA


201-500 employeesFounded: 2019

**Funding:**

Founders Fund$500M Series E in 2025$22.5B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/ramp/)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Ramp-EI_IE4211228.11,15.htm)

[Check company site 📌](https://ramp.com/?utm_source=topstartups.io)

[View Jobs](https",$500M,"FinTech, Enterprise Software","New York, New York, USA",500,https://ramp.com/,,,,topstartups.io,
Kalshi,"Kalshi built a new financial exchange for traders to trade on their opinion and hedge everyday risks.


ExchangesFinTech

**Quick facts:**

📍HQ: New York, New York, USA


101-200 employeesFounded: 2019

**Funding:**

Sequoia Y Combinator$185M Series C in 2025$2.0B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/kalshi)

[Check company site 📌](https://kalshi.com/?utm_source=topstartups.io)

[View Jobs](https://boards.greenhouse.io/embed/job_board?for=Kalshi)

",$185M,FinTech,"New York, New York, USA",200,https://kalshi.com/,,,,topstartups.io,
Sardine,"Fraud prevention for the digital economy


FinTech

**Quick facts:**

📍HQ: Remote


51-100 employeesFounded: 2020

**Funding:**

Andreessen Horowitz$70M Series C in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/sardineai/)

[Check company site 📌](https://www.sardine.ai/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/sardine/?utm_source=topstartups.io)

[![Camber startup company logo](https://images.crunchbase.com/image/upload/c_pad,h_120,w_120,",$70M,FinTech,Remote,100,https://www.sardine.ai/,,,,topstartups.io,
Camber,"Streamlines healthcare payments, easing administrative headaches for clinics and families


Healthcare FinTech

**Quick facts:**

📍HQ: New York, New York, USA


51-100 employeesFounded: 2021

**Funding:**

Andreessen Horowitz Y Combinator$30M Series B in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/camberhealth/)

[Check company site 📌](https://www.camber.health/?utm_source=topstartups.io)

[View Jobs](https://jobs.lever.co/camber?utm_source=topstartups.io)

[!",$30M,"FinTech, Healthcare","New York, New York, USA",100,https://www.camber.health/,,,,topstartups.io,
Current,"Current offers mobile payments, online banking, and financial services.


FinTech Banking

**Quick facts:**

📍HQ: New York, New York, USA


201-500 employeesFounded: 2015

**Funding:**

Andreessen Horowitz$200M Series D in 2024$2.2B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/current/)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Current-NY-EI_IE2579466.11,21.htm)

[Check company site 📌](http://current.com/?utm_source=topstartups.io)

[",$200M,FinTech,"New York, New York, USA",500,http://current.com/,,,,topstartups.io,
Coast,"Modern payments for fleet vehicles.


FinTech

**Quick facts:**

📍HQ: New York, New York, USA


11-50 employeesFounded: 2020

**Funding:**

Accel Bessemer$40M Series B in 2024$118M valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/coastpay/)

[Check company site 📌](https://coastpay.com/?utm_source=topstartups.io)

[View Jobs](https://boards.greenhouse.io/coast/?utm_source=topstartups.io)

[![Hebbia startup company logo](https://images.crunchbase.com/image/uploa",$40M,FinTech,"New York, New York, USA",50,https://coastpay.com/,,,,topstartups.io,
Hebbia,"Develops AI agents for financial services firms


Artificial Intelligence FinTech

**Quick facts:**

📍HQ: New York, New York, USA


51-100 employeesFounded: 2020

**Funding:**

Andreessen Horowitz$100M Series B in 2024

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/hebbia)

[Check company site 📌](https://www.hebbia.ai/?utm_source=topstartups.io)

[View Jobs](https://boards.greenhouse.io/hebbia?utm_source=topstartups.io)

[![Pomelo startup company logo](https://s7-recr",$100M,"FinTech, Artificial Intelligence","New York, New York, USA",100,https://www.hebbia.ai/,,,,topstartups.io,
Pomelo,"Combining credit and international money transfer in one unified product


FinTech Consumer

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


11-50 employeesFounded: 2020

**Funding:**

Founders Fund$40M Series B in 2024

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/pomelo-card)

[Check company site 📌](https://www.pomelo.com/?utm_source=topstartups.io)

[View Jobs](https://boards.greenhouse.io/pomelo/?utm_source=topstartups.io)

[![Innoviti Solutions ",$40M,FinTech,"San Francisco Bay Area, California, USA",50,https://www.pomelo.com/,,,,topstartups.io,
Innoviti Solutions,"India's leading payment solutions company


FinTechPayments

**Quick facts:**

📍HQ: Bangalore, India


501-1000 employeesFounded: 2002

**Funding:**

Bessemer$10M Series E in 2024$177M valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/innoviti-payment-solutions/)

[Read reviews ⭐](https://www.glassdoor.com/Reviews/Innoviti-Reviews-E637492.htm)

[Check company site 📌](http://www.innoviti.com/?utm_source=topstartups.io)

[View Jobs](https://www.linkedin.com/compa",$10M,FinTech,"Bangalore, India",1000,http://www.innoviti.com/,,,,topstartups.io,
Axoni,"Axoni offers blockchain infrastructure, distributed application development, and workflow automation tools.


Crypto FinTech

**Quick facts:**

📍HQ: New York, New York, USA


101-200 employeesFounded: 2015

**Funding:**

Andreessen HorowitzY Combinator$20M Series B in 2023

**Take action:**

[See who works here 🤝](https://linkedin.com/company/15215611)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Axoni-EI_IE1777661.11,16.htm)

[Check company site 📌](http://axoni.com/?utm_sourc",$20M,FinTech,"New York, New York, USA",200,http://axoni.com/,,,,topstartups.io,
Stripe,"Stripe is a developer-oriented commerce company helping small and large companies accept web and mobile payments.


FinTechPaymentsSaaS

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


5000+ employeesFounded: 2010

**Funding:**

SequoiaAndreessen Horowitz$6B Series I in 2023$50.0B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/stripe)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Stripe-EI_IE671932.11,17.htm)

[Check compan",$6B,"FinTech, SaaS","San Francisco Bay Area, California, USA",,https://stripe.com/,,,,topstartups.io,
Moov,"Moov is developing an open source platform enabling users to quickly deploy basic financial service tools.


FinTechDeveloper Tools

**Quick facts:**

📍HQ: Remote


51-100 employeesFounded: 2018

**Funding:**

Andreessen Horowitz$45M Series B in 2023

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/moov-io/)

[Check company site 📌](http://moov.io/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/Moov/?utm_source=topstartups.io)

[![Anyfin startup company",$45M,FinTech,Remote,100,http://moov.io/,,,,topstartups.io,
Anyfin,"Anyfin puts a stop to overpriced financial products to save money on private loans by taking a photo.


FinTech

**Quick facts:**

📍HQ: Sweden


201-500 employeesFounded: 2017

**Funding:**

Accel$30M Series C in 2023

**Take action:**

[See who works here 🤝](https://linkedin.com/company/anyfin)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Anyfin-EI_IE4412763.11,17.htm)

[Check company site 📌](http://anyfin.com/?utm_source=topstartups.io)

[View Jobs](https://career.anyfin.com",$30M,FinTech,Sweden,500,http://anyfin.com/,,,,topstartups.io,
Matter Labs,"Accelerate the mass adoption of public blockchains


Crypto FinTech Blockchain

**Quick facts:**

📍HQ: Berlin, Germany


51-100 employeesFounded: 2019

**Funding:**

Andreessen Horowitz$200M Series C in 2022

**Take action:**

[See who works here 🤝](https://linkedin.com/company/matterlabs)

[Check company site 📌](http://matter-labs.io/?utm_source=topstartups.io)

[View Jobs](https://jobs.eu.lever.co/matterlabs?utm_source=topstartups.io)

[![Brightside startup company logo](https://img-cdn.tnwcdn",$200M,FinTech,"Berlin, Germany",100,http://matter-labs.io/,,,,topstartups.io,
Brightside,"Easy, safe, and effective financial care for employees


Healthcare InsuranceFinTech

**Quick facts:**

📍HQ: Remote


51-100 employeesFounded: 2017

**Funding:**

Andreessen Horowitz$33M Series B in 2022

**Take action:**

[See who works here 🤝](https://linkedin.com/company/gobrightside)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Brightside-EI_IE2562927.11,21.htm)

[Check company site 📌](http://www.gobrightside.com/?utm_source=topstartups.io)

[View Jobs](https://jobs.lever.",$33M,"FinTech, Healthcare",Remote,100,http://www.gobrightside.com/,,,,topstartups.io,
TRM Labs,"Monitor, detect and investigate crypto fraud and financial crime


CybersecurityFraud DetectionFinTechCrypto

**Quick facts:**

📍HQ: Remote


101-200 employeesFounded: 2018

**Funding:**

BessemerY Combinator$70M Series B in 2022$600M valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/trmlabs)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-TRM-Labs-EI_IE3140139.11,19.htm)

[Check company site 📌](http://trmlabs.com/?utm_source=topstartups.io)

[View ",$70M,"Cybersecurity, FinTech",Remote,200,http://trmlabs.com/,,,,topstartups.io,
Landis,"Help renters become homeowners


Real EstateFinTech

**Quick facts:**

📍HQ: New York, New York, USA


51-100 employeesFounded: 2018

**Funding:**

Sequoia$40M Series B in 2022

**Take action:**

[See who works here 🤝](https://linkedin.com/company/landishq)

[Read reviews ⭐](https://www.glassdoor.com/Reviews/Landis-Reviews-E2289328.htm)

[Check company site 📌](http://www.hellolandis.com/?utm_source=topstartups.io)

[View Jobs](https://boards.greenhouse.io/landis?utm_source=topstartups.io)",$40M,FinTech,"New York, New York, USA",100,http://www.hellolandis.com/,,,,topstartups.io,
May Mobility,"May Mobility is developing autonomous vehicles from the chassis up with a focus on system level safety design.


TransportationHardwareAutonomous Vehicles

**Quick facts:**

📍HQ: Ann Arbor, Michigan, USA


101-200 employeesFounded: 2017

**Funding:**

Y Combinator$111M Series C in 2022

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/maymobility)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-May-Mobility-EI_IE2179384.11,23.htm)

[Check company site 📌](",$111M,,"Ann Arbor, Michigan, USA",200,http://maymobility.com/,,,,topstartups.io,
LawnGuru,"LawnGuru is a mobile platform for lawn care and snow plowing services through mobile applications.


Lawn Care Marketplace

**Quick facts:**

📍HQ: Ann Arbor, Michigan, USA


11-50 employeesFounded: 2014

**Funding:**

Sequoia$1M Seed in 2019

**Take action:**

[See who works here 🤝](https://linkedin.com/company/6451836)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-LawnGuru-EI_IE2513935.11,19.htm)

[Check company site 📌](http://www.lawnguru.co/?utm_source=topstartups.io)

[View",$1M,,"Ann Arbor, Michigan, USA",50,http://www.lawnguru.co/,,,,topstartups.io,
Bird,"MessageBird offers SMS, Voice and Chat solutions through an enterprise-grade platform.


SMSVideoChatEnterprise Software

**Quick facts:**

📍HQ: Amsterdam, Netherlands


201-500 employeesFounded: 2011

**Funding:**

Y CombinatorAccel$240M Series C in 2021$3.8B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/messagebird-com)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-MessageBird-EI_IE1080558.11,22.htm)

[Check company site 📌](http://messagebir",$240M,Enterprise Software,"Amsterdam, Netherlands",500,http://messagebird.com/,,,,topstartups.io,
CodeSandbox,"CodeSandbox is an online code editor with a focus on creating and sharing web application projects


Developer Tools Collaboration SaaS

**Quick facts:**

📍HQ: Amsterdam, Netherlands


11-50 employeesFounded: 2017

**Funding:**

Kleiner Perkins$18M Series A in 2020

**Take action:**

[See who works here 🤝](https://linkedin.com/company/codesandbox)

[Read reviews ⭐](https://www.glassdoor.com/Interview/It-s-a-React-project-done-in-an-online-sandbox-codesandbox-io-You-will-be-asked-to-make-an-async",$18M,SaaS,"Amsterdam, Netherlands",50,http://codesandbox.io/,,,,topstartups.io,
Framer,"Framer is a tool to design interactive high-fidelity prototypes for iOS, Android, desktop, or the web.


DesignSaaSDeveloper Tools

**Quick facts:**

📍HQ: Amsterdam, Netherlands


101-200 employeesFounded: 2014

**Funding:**

Accel$24M Series B in 2018

**Take action:**

[See who works here 🤝](https://linkedin.com/company/framer)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Framer-EI_IE1318143.11,17.htm)

[Check company site 📌](http://framer.com/?utm_source=topstartups.io)

[V",$24M,SaaS,"Amsterdam, Netherlands",200,http://framer.com/,,,,topstartups.io,
Sahara AI,"Decentralized AI blockchain platform that prioritizes sovereignty and provenance of AI


Artificial Intelligence Crypto

**Quick facts:**

📍HQ: Remote


51-100 employeesFounded: 2023

**Funding:**

Sequoia$43M Series A in 2024

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/saharalabs-ai/)

[Check company site 📌](https://saharalabs.ai/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/Sahara/?utm_source=topstartups.io)

[![Story Protocol startup company ",$43M,Artificial Intelligence,Remote,100,https://saharalabs.ai/,,,,topstartups.io,
Story Protocol,"Creator of web3 technology that aims to change the way narrative universes are formed


Crypto

**Quick facts:**

📍HQ: Remote


11-50 employeesFounded: 2022

**Funding:**

Andreessen Horowitz$80M Series B in 2024

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/story-protocol/)

[Check company site 📌](https://www.story.foundation/?utm_source=topstartups.io)

[View Jobs](https://jobs.lever.co/storyprotocol?utm_source=topstartups.io)

[![Allium startup company logo](https",$80M,,Remote,50,https://www.story.foundation/,,,,topstartups.io,
Allium,"Allium makes blockchain data accurate, simple and fast


Artificial Intelligence Crypto

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


1-10 employeesFounded: 2021

**Funding:**

Kleiner Perkins$21M Series A in 2024

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/alliumlabs/)

[Check company site 📌](https://www.allium.so/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/allium?utm_source=topstartups.io)

[![Caldera startup company logo",$21M,Artificial Intelligence,"San Francisco Bay Area, California, USA",10,https://www.allium.so/,,,,topstartups.io,
Caldera,"Rollup deployment platform for the Metalayer


Crypto

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


11-50 employeesFounded: 2022

**Funding:**

Sequoia Founders Fund$15M Series A in 2024

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/calderaxyz/)

[Check company site 📌](https://www.caldera.xyz/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/Caldera/?utm_source=topstartups.io)

[![Axoni startup company logo](https://img-cdn.tnwcdn.",$15M,,"San Francisco Bay Area, California, USA",50,https://www.caldera.xyz/,,,,topstartups.io,
Axoni,"Axoni offers blockchain infrastructure, distributed application development, and workflow automation tools.


Crypto FinTech

**Quick facts:**

📍HQ: New York, New York, USA


101-200 employeesFounded: 2015

**Funding:**

Andreessen HorowitzY Combinator$20M Series B in 2023

**Take action:**

[See who works here 🤝](https://linkedin.com/company/15215611)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Axoni-EI_IE1777661.11,16.htm)

[Check company site 📌](http://axoni.com/?utm_sourc",$20M,FinTech,"New York, New York, USA",200,http://axoni.com/,,,,topstartups.io,
Aztec,"Build privacy tooling for public blockchains


Crypto

**Quick facts:**

📍HQ: London, England, United Kingdom


51-100 employeesFounded: 2017

**Funding:**

Andreessen Horowitz$100M Series B in 2022

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/aztec-protocol/?originalSubdomain=uk)

[Check company site 📌](https://aztec.network/?utm_source=topstartups.io)

[View Jobs](https://boards.eu.greenhouse.io/aztec?utm_source=topstartups.io)

[![Matter Labs startup company logo",$100M,,"London, England, United Kingdom",100,https://aztec.network/,,,,topstartups.io,
Matter Labs,"Accelerate the mass adoption of public blockchains


Crypto FinTech Blockchain

**Quick facts:**

📍HQ: Berlin, Germany


51-100 employeesFounded: 2019

**Funding:**

Andreessen Horowitz$200M Series C in 2022

**Take action:**

[See who works here 🤝](https://linkedin.com/company/matterlabs)

[Check company site 📌](http://matter-labs.io/?utm_source=topstartups.io)

[View Jobs](https://jobs.eu.lever.co/matterlabs?utm_source=topstartups.io)

[![TRM Labs startup company logo](https://images.crunchbas",$200M,FinTech,"Berlin, Germany",100,http://matter-labs.io/,,,,topstartups.io,
TRM Labs,"Monitor, detect and investigate crypto fraud and financial crime


CybersecurityFraud DetectionFinTechCrypto

**Quick facts:**

📍HQ: Remote


101-200 employeesFounded: 2018

**Funding:**

BessemerY Combinator$70M Series B in 2022$600M valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/trmlabs)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-TRM-Labs-EI_IE3140139.11,19.htm)

[Check company site 📌](http://trmlabs.com/?utm_source=topstartups.io)

[View ",$70M,"Cybersecurity, FinTech",Remote,200,http://trmlabs.com/,,,,topstartups.io,
Mysten Labs,"Mysten Labs creates foundational infrastructure to accelerate the adoption of web3.


Crypto Developer Tools

**Quick facts:**

📍HQ: Remote


51-100 employeesFounded: 2021

**Funding:**

Andreessen Horowitz$300M Series B in 2022$2.0B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/mysten-labs/)

[Check company site 📌](https://mystenlabs.com/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/mystenlabs?utm_source=topstartups.io)

[![Magic Eden s",$300M,,Remote,100,https://mystenlabs.com/,,,,topstartups.io,
Magic Eden,"Leading NFT Marketplace on Solana


Crypto Marketplace

**Quick facts:**

📍HQ: Remote


51-100 employeesFounded: 2021

**Funding:**

Sequoia$130M Series B in 2022$1.6B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/magic-eden/)

[Check company site 📌](https://www.magiceden.io/?utm_source=topstartups.io)

[View Jobs](https://boards.greenhouse.io/magiceden/?utm_source=topstartups.io)

[![Chainalysis startup company logo](https://images.crunchbase.com/image/upl",$130M,,Remote,100,https://www.magiceden.io/,,,,topstartups.io,
Chainalysis,"Building comprehensive crypto
investigation and transaction monitoring solutions


Crypto FinTech Compliance

**Quick facts:**

📍HQ: New York, New York, USA


501-1000 employeesFounded: 2014

**Funding:**

BenchmarkAccel$170M Series F in 2022$8.6B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/chainalysis)

[Read reviews ⭐](https://www.glassdoor.com/Reviews/Chainalysis-Reviews-E1732845.htm)

[Check company site 📌](http://www.chainalysis.com/?utm_source=topstartu",$170M,FinTech,"New York, New York, USA",1000,http://www.chainalysis.com/,,,,topstartups.io,
Spruce Systems,"Building the most secure developer tools to share authentic data


Crypto Blockchain Analytics

**Quick facts:**

📍HQ: Remote


11-50 employeesFounded: 2021

**Funding:**

Andreessen Horowitz Y Combinator$34M Series A in 2022

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/sprucesystemsinc/)

[Check company site 📌](https://www.spruceid.com/?utm_source=topstartups.io)

[View Jobs](https://jobs.lever.co/sprucesystems?utm_source=topstartups.io)

[![Sky Mavis startup compa",$34M,,Remote,50,https://www.spruceid.com/,,,,topstartups.io,
Sky Mavis,"Sky Mavis is a video game developer that brings the benefits of blockchain through fun and practical applications.


Gaming Crypto Blockchain

**Quick facts:**

📍HQ: Ho Chi Minh City, Vietnam


51-100 employeesFounded: 2019

**Funding:**

Andreessen Horowitz Accel$150M Series C in 2022$3.0B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/skymavis)

[Check company site 📌](http://www.skymavis.com/?utm_source=topstartups.io)

[View Jobs](https://apply.workable.com/s",$150M,,"Ho Chi Minh City, Vietnam",100,http://www.skymavis.com/,,,,topstartups.io,
Multis,"Building software to help Web3 companies manage finances


Crypto FinTech

**Quick facts:**

📍HQ: Paris, France


11-50 employeesFounded: 2019

**Funding:**

Sequoia Y Combinator$7M Series A in 2022

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/multishq/)

[Check company site 📌](https://multis.co/?utm_source=topstartups.io)

[View Jobs](https://multis.welcomekit.co/?utm_source=topstartups.io)

[![Helium startup company logo](https://img-cdn.tnwcdn.com/image?url=https",$7M,FinTech,"Paris, France",50,https://multis.co/,,,,topstartups.io,
Helium,"Decentralized wireless infrastructure


Crypto Hardware Internet of Things

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


101-200 employeesFounded: 2013

**Funding:**

Andreessen Horowitz Khosla Ventures$200M Series D in 2022$1.2B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/3729453)

[Read reviews ⭐](https://www.glassdoor.com/Reviews/Helium-Reviews-E337896.htm)

[Check company site 📌](http://www.helium.com/?utm_source=topstartups.io)

[View",$200M,,"San Francisco Bay Area, California, USA",200,http://www.helium.com/,,,,topstartups.io,
Alchemy,"Building tooling and infra for developers to build reliable decentralized applications, like the AWS of blockchain


Developer Platform Blockchain Crypto

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


51-100 employeesFounded: 2017

**Funding:**

Andreessen Horowitz$200M Series C in 2022$10.2B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/alchemyinc)

[Check company site 📌](https://www.alchemy.com/?utm_source=topstartups.io)

[View Jobs](https",$200M,,"San Francisco Bay Area, California, USA",100,https://www.alchemy.com/,,,,topstartups.io,
Phantom,"Digital wallet reimagined for DeFi and NFTs


Crypto

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


11-50 employeesFounded: 2021

**Funding:**

Andreessen Horowitz Solana$109M Series B in 2022$1.2B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/phantomwallet/)

[Check company site 📌](https://phantom.app/?utm_source=topstartups.io)

[View Jobs](https://boards.greenhouse.io/embed/job_board?for=Phantom45)

[![CoinTracker startup company logo]",$109M,,"San Francisco Bay Area, California, USA",50,https://phantom.app/,,,,topstartups.io,
CoinTracker,"CoinTracker is a portfolio and tax manager for cryptocurrency.


FinTechCrypto

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


51-100 employeesFounded: 2017

**Funding:**

Accel Y Combinator$100M Series A in 2022$1.3B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/cointracker)

[Check company site 📌](http://www.cointracker.io/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/cointracker?utm_source=topstartups.io)",$100M,FinTech,"San Francisco Bay Area, California, USA",100,http://www.cointracker.io/,,,,topstartups.io,
Unito,"Automatically synchronizes your projects, tasks and conversations between different work management tools


CollaborationSaaSProductivity Software

**Quick facts:**

📍HQ: Montreal, Quebec, Canada


101-200 employeesFounded: 2015

**Funding:**

Bessemer$20M Series B in 2022

**Take action:**

[See who works here 🤝](https://linkedin.com/company/unito-)

[Read reviews ⭐](https://www.glassdoor.com/Reviews/Unito-Reviews-E1326301.htm)

[Check company site 📌](http://unito.io/?utm_source=topstartups.io)",$20M,SaaS,"Montreal, Quebec, Canada",200,http://unito.io/,,,,topstartups.io,
1Password,"Secure and convenient password manager for documents, credit card information, and addresses


SaaS Cybersecurity Enterprise Software

**Quick facts:**

📍HQ: Toronto, Ontario, Canada


201-500 employeesFounded: 2005

**Funding:**

Accel$620M Series C in 2022$6.8B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/1password/?originalSubdomain=ca)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-1Password-EI_IE2984143.11,20.htm)

[Check company site",$620M,"Cybersecurity, Enterprise Software, SaaS","Toronto, Ontario, Canada",500,https://1password.com/,,,,topstartups.io,
Codex,"Codex is a devtool that enables just in time documentation for deep collaboration.


Developer Tools Collaboration SaaS

**Quick facts:**

📍HQ: Toronto, Ontario, Canada


1-10 employeesFounded: 2021

**Funding:**

Y Combinator$4M Seed in 2021

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/usecodex/)

[Check company site 📌](https://usecodex.com/?utm_source=topstartups.io)

[![Secoda startup company logo](https://images.crunchbase.com/image/upload/c_lpad,h_170,w_170,f_a",$4M,SaaS,"Toronto, Ontario, Canada",10,https://usecodex.com/,,,,topstartups.io,
Secoda,"Secoda is a collaborative workspace that enables data teams to share metadata, queries, charts, documentation.


SaaS Enterprise Software

**Quick facts:**

📍HQ: Toronto, Ontario, Canada


11-50 employeesFounded: 2020

**Funding:**

Y Combinator$2M Seed in 2021

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/secodahq/)

[Check company site 📌](https://www.secoda.co/?utm_source=topstartups.io)

[View Jobs](https://www.ycombinator.com/companies/secoda/jobs?utm_source=tops",$2M,"Enterprise Software, SaaS","Toronto, Ontario, Canada",50,https://www.secoda.co/,,,,topstartups.io,
Gadget,"Gadget is the fastest way for developers to build apps.


Developer Tools SaaS

**Quick facts:**

📍HQ: Ottawa, Ontario, Canada


11-50 employeesFounded: 2020

**Funding:**

Sequoia Bessemer$8M Seed in 2021

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/gadget-dev/)

[Check company site 📌](https://gadget.dev/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/gadget?utm_source=topstartups.io)

[![rose rocket startup company logo](https://images.crunchbase",$8M,SaaS,"Ottawa, Ontario, Canada",50,https://gadget.dev/,,,,topstartups.io,
rose rocket,"Rose Rocket is ERP software for trucking companies.


TransportationEnterprise Software

**Quick facts:**

📍HQ: Toronto, Ontario, Canada


51-100 employeesFounded: 2015

**Funding:**

Y Combinator$25M Series A in 2021

**Take action:**

[See who works here 🤝](https://linkedin.com/company/15180908)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Rose-Rocket-EI_IE3406205.11,22.htm)

[Check company site 📌](http://roserocket.com/?utm_source=topstartups.io)

[View Jobs](https://jobs.a",$25M,Enterprise Software,"Toronto, Ontario, Canada",100,http://roserocket.com/,,,,topstartups.io,
Clio,"Thousands of legal professionals choose Clio to manage their practice in the cloud


SaaS Legal Tech

**Quick facts:**

📍HQ: Vancouver, British Columbia, Canada


501-1000 employeesFounded: 2008

**Funding:**

Bessemer$20M Series E in 2021$1.6B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/clio---cloud-based-legal-technology/)

[Check company site 📌](http://www.clio.com/?utm_source=topstartups.io)

[View Jobs](https://www.clio.com/about/careers/search/?utm_",$20M,SaaS,"Vancouver, British Columbia, Canada",1000,http://www.clio.com/,,,,topstartups.io,
Dapper Labs,"Dapper Labs uses the power of play to deliver blockchainbased experiences that are made for you and ready for the real world.


SoftwareGamingFinTechBlockchainCrypto

**Quick facts:**

📍HQ: Vancouver, British Columbia, Canada


201-500 employeesFounded: 2018

**Funding:**

Andreessen Horowitz$12M Series D in 2021$7.6B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/dapper-labs)

[Check company site 📌](http://www.dapperlabs.com/?utm_source=topstartups.io)

[View J",$12M,FinTech,"Vancouver, British Columbia, Canada",500,http://www.dapperlabs.com/,,,,topstartups.io,
Aviron,"Aviron Interactive is a fitness company offering a rower with gamification features.


HealthcareFitnessSoftware

**Quick facts:**

📍HQ: Toronto, Ontario, Canada


11-50 employeesFounded: 2019

**Funding:**

Y CombinatorRaised $4M in 2021

**Take action:**

[See who works here 🤝](https://linkedin.com/company/aviron-interactive)

[Check company site 📌](http://www.avironactive.com/?utm_source=topstartups.io)

[View Jobs](https://aviron.breezy.hr/?utm_source=topstartups.io)

[![OpenUnit startup com",$4M,Healthcare,"Toronto, Ontario, Canada",50,http://www.avironactive.com/,,,,topstartups.io,
